DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
9.168425,28.382505,0.018643,1,943.6,4750.143564,335337.510328,311.014112
10.255559,25.346043,0.018172,1,780.64,4858.066193,333787.305738,309.948756
9.02435,29.255011,0.017841,1,945.2,4977.139319,333960.174802,310.468394
8.611995,25.502844,0.017975,1,900.44,4935.639566,334294.126007,310.627929
8.989767,26.596325,0.018404,3,265.64,4799.567593,334383.213457,310.322782
10.030058,27.119566,0.286331,2,441.42,4314.443233,332925.555422,265.379369
9.661456,25.371015,0.254155,2,429.2,4178.83058,333844.18109,264.450306
10.047615,28.236352,0.018369,2,420.44,4813.497204,335830.413682,311.618284
10.249027,23.592848,0.017889,6,121.74,4938.887406,332837.47149,309.355961
9.420685,25.032387,0.018216,3,252.24,4852.130439,333744.631977,309.895196
8.019273,25.177376,0.017804,5,150.88,4984.602532,333181.012541,309.769219
10.236456,25.865269,0.018378,1,817.84,4800.798347,334001.56972,309.992796
8.742988,26.748469,0.018239,3,255.973333,4841.334843,333534.778687,309.721347
9.85858,26.700531,0.018741,1,915.56,4700.268094,335480.201385,311.019395
10.436044,24.414711,0.017583,3,243.44,5051.07216,332351.856378,309.241274
10.458404,26.672231,0.018315,4,186.94,4838.560888,334040.293324,310.126426
10.268666,24.7463,0.019264,2,405.6,4557.685965,335166.781982,310.352432
8.693291,28.431112,0.018371,4,205.04,4836.033883,335064.354649,311.01857
9.989919,26.139265,0.018479,5,149.6,4782.793226,334576.703522,310.422868
10.122293,25.482158,0.017921,3,258.64,4943.019386,333552.433272,309.995902
9.070793,26.610419,0.017952,5,162.48,4921.373516,334159.944227,310.47896
7.700978,26.831139,0.018082,6,120.406667,4917.797229,333690.744849,310.041841
9.744357,26.71838,0.017704,3,269.84,5004.350212,333651.114223,310.245159
9.548743,26.289892,0.018107,2,400.88,4899.553503,333196.890937,309.540849
10.118345,25.73165,0.018077,2,413.92,4904.382311,333724.801781,310.029978
9.020904,24.693993,0.017857,1,742.84,4957.639431,332764.560523,309.341004
10.209333,26.002909,0.018975,3,268.093333,4629.6876,335203.256957,310.57371
9.551824,26.691972,0.01798,4,196.33,4943.550629,334139.209049,310.506257
8.855369,24.68892,0.017952,2,387.14,4945.825476,333354.006097,309.841381
8.747615,25.575891,0.018643,2,405.62,4741.663112,334389.45877,310.164199
9.268113,28.466452,0.018804,1,848.44,4699.666167,337070.004496,312.38085
8.514195,27.383241,0.018149,2,434.12,4869.197956,334195.677779,310.368461
8.873491,24.407294,0.018411,4,183.29,4781.392377,333809.361759,309.772915
8.993619,26.392194,0.018204,4,197.09,4862.964934,333943.717481,310.125199
9.421084,29.032631,0.018406,3,288.773333,4803.803688,335346.193087,311.187531
